gene,importance
IL12RB1,0.0
PSMB9,0.0
CX3CR1,0.0
NFKB2,0.0
AXL,0.0
TM4SF1,0.0
TMEM178A,0.0
FPR1,0.0
CXCL16,0.0
LILRB2,0.0
HYAL2,0.0
PDPN,0.0
JAK3,0.0
IKZF2,0.0
PF4,0.0
TRIB1,0.0
LILRB4,0.0
MS4A2,0.0
BDNF,0.0
NFKB1,0.0
IL6,0.0
MERTK,0.0
BMP2,0.0
MPIG6B,0.0
HLA-E,0.0
MAPK8,0.0
NPHS2,0.0
CXCL14,0.0
RNF149,0.0
PROX1,0.0
SFTPA2,0.0
LEF1,0.0
CHUK,0.0
RAF1,0.0
CD5,0.0
SERPINE1,0.0
EGR1,0.0
BLNK,0.0
CCL13,0.0
ARG1,0.0
IL1RN,0.0
SLC19A3,0.0
FCRL2,0.0
CMKLR1,0.0
S1PR1,0.0
BMPR1A,0.0
B2M,0.0
IL6R,0.0
CLEC4C,0.0
SLC22A2,0.0
MT1A,0.0
IFNAR2,0.0
CCR7,0.0
HLA-DQA1,0.0
MYOM2,0.0
TNFSF8,0.0
MASP2,0.0
FOXO1,0.0
TOX2,0.0
HMGB1,0.0
C5,0.0
MAF,0.0
MS4A7,0.0
RGN,0.0
HSP90AA1,0.0
TLR5,0.0
NOS3,0.0
LILRB1,0.0
HLA-DRB1,0.0
RELA,0.0
MEOX1,0.0
IL17RB,0.0
SMAD5,0.0
AIRE,0.0
CASP1,0.0
PTGER4,0.0
HDC,0.0
DEFB1,0.0
TP53,0.0
BMP6,0.0
IL12RB2,0.0
IFITM1,0.0
IL16,0.0
TNFSF14,0.0
EPAS1,0.0
HAVCR1,0.0
FCGR2B,0.0
TNFRSF4,0.0
TNFAIP6,0.0
PNOC,0.0
IER5,0.0
SP140,0.0
SP100,0.0
IFI44,0.0
IKBKB,0.0
APOE,0.0
SERINC5,0.0
BAX,0.0
MASP1,0.0
MS4A6A,0.0
CD3E,0.0
LAP3,0.0
CRIP2,0.0
ICOS,0.0
CXCL12,0.0
PSEN1,0.0
IL17A,0.0
ST8SIA4,0.0
ISG15,0.0
CEACAM3,0.0
MTOR,0.0
IRF8,0.0
BIRC3,0.0
SPIB,0.0
ANKRD22,0.0
KRT8,0.0
CXCL5,0.0
BLK,0.0
LTA,0.0
LTB,0.0
MCAM,0.0
PDCD1LG2,0.0
IL18,0.0
SRC,0.0
HLA-G,0.0
IKBKG,0.0
IMPDH1,0.0
FGD2,0.0
CXCL10,0.0
S100A9,0.0
CGAS,0.0
ZEB1,0.0
IL7R,0.0
KRT19,0.0
PPBP,0.0
APOL1,0.0
LAYN,0.0
HSPA12B,0.0
PTPRC,0.0
IL6ST,0.0
ALOX5,0.0
THBD,0.0
BCL6,0.0
SIGIRR,0.0
CCR4,0.0
TM4SF18,0.0
EOMES,0.0
CD276,0.0
IL2RA,0.0
CD72,0.0
BCL2,0.0
MME,0.0
PTX3,0.0
PTPN2,0.0
XCL1/2,0.0
KAAG1,0.0
IL17RC,0.0
UMOD,0.0
IL12A,0.0
IL7,0.0
KITLG,0.0
KLF4,0.0
SERPING1,0.0
PTPN7,0.0
CD22,0.0
NR4A1,0.0
HDAC3,0.0
CCR3,0.0
ITGA4,0.0
ICOSLG,0.0
CCL2,0.0
AREG,0.0
AOAH,0.0
IFNA1,0.0
CD34,0.0
IL27,0.0
FOXP3,0.0
TRAF6,0.0
SPRY4,0.0
TRDV3,0.0
ROBO4,0.0
ECSCR,0.0
C1QA,0.0
CD244,0.0
ITGAX,0.0
CD46,0.0
C3AR1,0.0
TBK1,0.0
S100A12,0.0
RARRES1,0.0
ERG,0.0
TGFB2,0.0
FGFBP2,0.0
JAK1,0.0
CD4,0.0
TNFRSF1A,0.0
MYC,0.0
BATF3,0.0
IGKC,0.0
CTSL,0.0
EEF1A1,0.0
CASP4,0.0
C1QB,0.0
RUNX1,0.0
GZMH,0.0
CD3G,0.0
IL22,0.0
CD45RB,0.0
CARD8,0.0
DCAF12,0.0
GDF15,0.0
ATXN3,0.0
RTN4,0.0
REL,0.0
TCL1A,0.0
TPSAB1/B2,0.0
ITGB6,0.0
MARCH8.,0.0
IGF2R,0.0
GEMIN7,0.0
FCAR,0.0
KIR_Activating_Subgroup_1,0.0
CXCR5,0.0
MIF,0.0
MUC1,0.0
IL10,0.0
NPPB,0.0
MBP,0.0
ACKR1,0.0
VEGFC,0.0
CCR10,0.0
PLAU,0.0
MS4A1,0.0
CXCR3,0.0
SH2D1A,0.0
HLA-DMB,0.0
PHEX,0.0
EVA1C,0.0
CRHBP,0.0
TREM1,0.0
NFAM1,0.0
CCL15,0.0
MYD88,0.0
CD44,0.0
SELE,0.0
CD79A,0.0
RPS6,0.0
CD45RA,0.0
ATM,0.0
S100A8,0.0
BMPR1B,0.0
NNMT,0.0
CARD16,0.0
CD40LG,0.0
CD163,0.0
STAT6,0.0
FAS,0.0
LAMP1,0.0
VMP1,0.0
BTG2,0.0
ARHGDIB,0.0
CR1,0.0
ADGRL4,0.0
STAT1,0.0
KIR_Activating_Subgroup_2,0.0
IGHG4,0.0
IL4R,0.0
IGF1R,0.0
NOD1,0.0
PIK3CD,0.0
