target,model,features,n,positives,roc_auc,average_precision,threshold,sensitivity,specificity,ppv,npv,tp,fp,tn,fn,accuracy,brier,seconds
antibody_mediated_component,hist_boosting,758,263,88,0.9702597402597402,0.9620561467559516,0.18467996290376248,0.9090909090909091,0.9257142857142857,0.8602150537634409,0.9529411764705882,80,13,162,8,0.9201520912547528,0.05132166103872837,1.0295541286468506
antibody_mediated_component,single_gene_IFNG,1,263,88,0.566103896103896,0.3427580613352652,0.33014959055765836,0.9090909090909091,0.3657142857142857,0.418848167539267,0.8888888888888888,80,111,64,8,0.5475285171102662,0.22178694090023215,0.008510828018188477
t_cell_mediated_component,catboost_all_depth4,758,263,105,0.9508740204942736,0.8888639325639259,0.5048651647359682,0.9047619047619048,0.9430379746835443,0.9134615384615384,0.9371069182389937,95,9,149,10,0.9277566539923955,0.07510435818062758,8.192007064819336
t_cell_mediated_component,catboost_all_depth6,758,263,105,0.9535262206148283,0.9031205230697894,0.4426256379923145,0.9047619047619048,0.9240506329113924,0.8878504672897196,0.9358974358974359,95,12,146,10,0.9163498098859315,0.07251785716211313,25.960699796676636
t_cell_mediated_component,catboost_top50,50,263,105,0.9302591922845087,0.8871235666497596,0.2377474218181382,0.9047619047619048,0.7974683544303798,0.7480314960629921,0.9264705882352942,95,32,126,10,0.8403041825095057,0.10086007372178397,0.6824676990509033
t_cell_mediated_component,catboost_top200,200,263,105,0.9407474382157927,0.8902144764098228,0.3617051326123971,0.9047619047619048,0.8481012658227848,0.7983193277310925,0.9305555555555556,95,24,134,10,0.870722433460076,0.09310389969303755,2.2933948040008545
t_cell_mediated_component,logistic_all,758,263,105,0.9388185654008439,0.8683765574884503,0.25701719050682653,0.9047619047619048,0.8481012658227848,0.7983193277310925,0.9305555555555556,95,24,134,10,0.870722433460076,0.09249965614970854,0.0512394905090332
t_cell_mediated_component,logistic_top50,50,263,105,0.9362266425557565,0.8808128836208192,0.3399741215572448,0.9047619047619048,0.8164556962025317,0.7661290322580645,0.9280575539568345,95,29,129,10,0.8517110266159695,0.10084743730371822,0.025020599365234375
t_cell_mediated_component,extra_trees,758,263,105,0.9472573839662447,0.9072863291386342,0.4369166666666666,0.9047619047619048,0.9240506329113924,0.8878504672897196,0.9358974358974359,95,12,146,10,0.9163498098859315,0.0884849547884981,1.2739267349243164
t_cell_mediated_component,hist_boosting,758,263,105,0.9472573839662448,0.8882841756248628,0.31663559400424857,0.9047619047619048,0.8924050632911392,0.8482142857142857,0.9337748344370861,95,17,141,10,0.8973384030418251,0.08293293009596366,1.0512518882751465
t_cell_mediated_component,single_gene_IFNG,1,263,105,0.809764918625678,0.7887438272237647,0.16399871399211766,0.9047619047619048,0.36075949367088606,0.4846938775510204,0.8507462686567164,95,101,57,10,0.5779467680608364,0.16594669998186368,0.00851297378540039
