model,field,group,n,positives,negatives,prevalence,threshold,tp,fn,fp,tn,sensitivity,specificity,ppv,npv,accuracy,roc_auc,average_precision,brier,mean_score,No Rejection,Antibody-mediated Rejection,T cell-mediated Rejection,Mixed Rejection,miss_rate,false_flag_rate,miss_wilson_lower,miss_wilson_upper,false_flag_wilson_lower,false_flag_wilson_upper
catboost_all_depth4,CartridgeID,V20211202-G010-4,11,6,5,0.5454545454545454,0.8765880870219778,5,1,0,5,0.8333333333333334,1.0,1.0,0.8333333333333334,0.9090909090909091,0.9333333333333333,0.9583333333333333,0.1483028030270202,0.5519490605969367,5,2,4,0,0.16666666666666666,0.0,0.030053369748306635,0.5635028221864702,0.0,0.43448246478317476
catboost_all_depth4,CartridgeID,V20211203-G005-1,9,3,6,0.3333333333333333,0.8765880870219778,3,0,0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005189932844621709,0.33406126305096323,6,2,1,0,0.0,0.0,5.551115123125783e-17,0.5614970317550454,2.7755575615628914e-17,0.3903342879021653
catboost_all_depth4,CartridgeID,V20211203-G006-2,10,6,4,0.6,0.8765880870219778,5,1,0,4,0.8333333333333334,1.0,1.0,0.8,0.9,1.0,1.0,0.07397845389058612,0.6935316026806753,4,2,3,1,0.16666666666666666,0.0,0.030053369748306635,0.5635028221864702,0.0,0.4898908364545973
catboost_all_depth4,CartridgeID,V20211203-G015-3,11,5,6,0.45454545454545453,0.8765880870219778,4,1,0,6,0.8,1.0,1.0,0.8571428571428571,0.9090909090909091,1.0,1.0,0.005128869961824597,0.4422436601798467,6,2,3,0,0.2,0.0,0.03622410863243014,0.6244653702374747,2.7755575615628914e-17,0.3903342879021653
catboost_all_depth4,CartridgeID,V20211203-G016-4,12,7,5,0.5833333333333334,0.8765880870219778,6,1,0,5,0.8571428571428571,1.0,1.0,0.8333333333333334,0.9166666666666666,1.0,0.9999999999999998,0.0192807127490723,0.6017608077206589,5,2,4,1,0.14285714285714285,0.0,0.02567962434474355,0.5131278292743189,0.0,0.43448246478317476
catboost_all_depth4,CartridgeID,V20211209-G017-1,11,5,6,0.45454545454545453,0.8765880870219778,4,1,0,6,0.8,1.0,1.0,0.8571428571428571,0.9090909090909091,1.0,1.0,0.03455468292768037,0.49119944739629956,6,2,2,1,0.2,0.0,0.03622410863243014,0.6244653702374747,2.7755575615628914e-17,0.3903342879021653
catboost_all_depth4,CartridgeID,V20211209-G018-2,12,7,5,0.5833333333333334,0.8765880870219778,7,0,1,4,1.0,0.8,0.875,1.0,0.9166666666666666,0.9714285714285715,0.982142857142857,0.07324091928312594,0.654925112803116,5,2,4,1,0.0,0.2,5.551115123125783e-17,0.35433043506668743,0.03622410863243014,0.6244653702374747
catboost_all_depth4,CartridgeID,V20211209-G019-3,11,5,6,0.45454545454545453,0.8765880870219778,1,4,0,6,0.2,1.0,1.0,0.6,0.6363636363636364,0.7666666666666667,0.7295238095238095,0.2840785194708877,0.37205571120795544,6,2,3,0,0.8,0.0,0.37553462976252533,0.9637758913675698,2.7755575615628914e-17,0.3903342879021653
catboost_all_depth4,CartridgeID,V20211209-G020-4,12,7,5,0.5833333333333334,0.8765880870219778,7,0,0,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.000348348297382505,0.5786775558692977,5,2,4,1,0.0,0.0,5.551115123125783e-17,0.35433043506668743,0.0,0.43448246478317476
catboost_all_depth4,CartridgeID,V20211210-G021-1,11,5,6,0.45454545454545453,0.8765880870219778,3,2,0,6,0.6,1.0,1.0,0.75,0.8181818181818182,0.9666666666666667,0.9666666666666666,0.11677133539180225,0.384816841591436,6,2,3,0,0.4,0.0,0.11762077423264783,0.769275718723987,2.7755575615628914e-17,0.3903342879021653
catboost_all_depth4,CartridgeID,V20211210-G022-2,11,6,5,0.5454545454545454,0.8765880870219778,6,0,0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007547160850140789,0.5387352373518848,5,1,4,1,0.0,0.0,2.7755575615628914e-17,0.3903342879021653,0.0,0.43448246478317476
catboost_all_depth4,CartridgeID,V20211210-G023-3,11,6,5,0.5454545454545454,0.8765880870219778,6,0,0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04303256292952307,0.6087969068116021,5,2,4,0,0.0,0.0,2.7755575615628914e-17,0.3903342879021653,0.0,0.43448246478317476
catboost_all_depth4,CartridgeID,V20211210-G024-4,12,7,5,0.5833333333333334,0.8765880870219778,7,0,0,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.062377773561833855,0.657282321272724,5,2,4,1,0.0,0.0,5.551115123125783e-17,0.35433043506668743,0.0,0.43448246478317476
catboost_all_depth4,CartridgeID,V20211219-G025-1,11,6,5,0.5454545454545454,0.8765880870219778,5,1,0,5,0.8333333333333334,1.0,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,0.04943295378149279,0.47947791451635385,5,2,3,1,0.16666666666666666,0.0,0.030053369748306635,0.5635028221864702,0.0,0.43448246478317476
