repeat,seed,model,family,complexity,n,positives,threshold,tn,fp,fn,tp,sensitivity,specificity,ppv,npv,roc_auc,average_precision,fit_seconds,reload_max_abs_difference
3,20260919,catboost_depth4,catboost,4.0,210,138,0.8737530828154029,70,2,13,125,0.9057971014492754,0.9722222222222222,0.984251968503937,0.8433734939759037,0.9855072463768116,0.9926560196938083,7.504139199998463,0.0
3,20260919,catboost_depth6,catboost,6.0,210,138,0.8688661798852033,69,3,13,125,0.9057971014492754,0.9583333333333334,0.9765625,0.8414634146341463,0.9860104669887279,0.9927185393215658,24.043111200007843,0.0
4,20260920,logistic_C0.01,logistic,0.01,210,138,0.7232936382637136,66,6,13,125,0.9057971014492754,0.9166666666666666,0.9541984732824428,0.8354430379746836,0.9618558776167473,0.9793645844869179,0.030752000006032176,0.0
4,20260920,logistic_C0.1,logistic,0.1,210,138,0.8240741439270446,66,6,13,125,0.9057971014492754,0.9166666666666666,0.9541984732824428,0.8354430379746836,0.9654790660225442,0.981493843856399,0.03782610000052955,0.0
4,20260920,logistic_C1,logistic,1.0,210,138,0.8619838368817434,66,6,13,125,0.9057971014492754,0.9166666666666666,0.9541984732824428,0.8354430379746836,0.966183574879227,0.9826456541141674,0.03742219999548979,0.0
4,20260920,catboost_depth4,catboost,4.0,210,138,0.8139067844310455,66,6,13,125,0.9057971014492754,0.9166666666666666,0.9541984732824428,0.8354430379746836,0.9652777777777778,0.9796145952514983,7.649362199997995,0.0
4,20260920,catboost_depth6,catboost,6.0,210,138,0.860353987849844,64,8,13,125,0.9057971014492754,0.8888888888888888,0.9398496240601504,0.8311688311688312,0.9688003220611916,0.9824729145157776,24.840183799999068,0.0
5,20260921,logistic_C0.01,logistic,0.01,210,139,0.66342546055178,66,5,13,126,0.9064748201438849,0.9295774647887324,0.9618320610687023,0.8354430379746836,0.9791265579086027,0.9889246380025403,0.03022269999200944,0.0
5,20260921,logistic_C0.1,logistic,0.1,210,139,0.7767557377642522,66,5,13,126,0.9064748201438849,0.9295774647887324,0.9618320610687023,0.8354430379746836,0.9811531056844666,0.9904234146829659,0.03994220000458881,0.0
5,20260921,logistic_C1,logistic,1.0,210,139,0.8261127337355558,64,7,13,126,0.9064748201438849,0.9014084507042254,0.9473684210526315,0.8311688311688312,0.9781132840206708,0.9890214080852742,0.043135600004461594,0.0
5,20260921,catboost_depth4,catboost,4.0,210,139,0.8346107352379533,65,6,13,126,0.9064748201438849,0.9154929577464789,0.9545454545454546,0.8333333333333334,0.9812544330732597,0.9902240265598482,7.525327599985758,0.0
5,20260921,catboost_depth6,catboost,6.0,210,139,0.8449413672525337,65,6,13,126,0.9064748201438849,0.9154929577464789,0.9545454545454546,0.8333333333333334,0.9812544330732598,0.9903558709254144,23.806389799996396,0.0
6,20260922,logistic_C0.01,logistic,0.01,210,139,0.7384367086361092,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.9771000101327387,0.9870843731673921,0.032778099994175136,0.0
6,20260922,logistic_C0.1,logistic,0.1,210,139,0.8256726875391039,66,5,13,126,0.9064748201438849,0.9295774647887324,0.9618320610687023,0.8354430379746836,0.9793292126861891,0.9884763488459002,0.039836900003138,0.0
6,20260922,logistic_C1,logistic,1.0,210,139,0.8995580720755469,66,5,13,126,0.9064748201438849,0.9295774647887324,0.9618320610687023,0.8354430379746836,0.9784172661870504,0.9880178895398135,0.04490129998885095,0.0
6,20260922,catboost_depth4,catboost,4.0,210,139,0.8851161121959911,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9832809808491235,0.990352419954693,7.594211600007839,0.0
6,20260922,catboost_depth6,catboost,6.0,210,139,0.9113061088624865,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9823690343499848,0.9899634964710123,24.382558500001323,0.0
7,20260923,logistic_C0.01,logistic,0.01,210,139,0.7021684774528568,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9700070929172155,0.9849778356713912,0.03457360000174958,0.0
7,20260923,logistic_C0.1,logistic,0.1,210,139,0.7308490326769788,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9764920457999797,0.9883012373026526,0.040728399995714426,0.0
7,20260923,logistic_C1,logistic,1.0,210,139,0.8296114306640986,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9758840814672206,0.9880438135892972,0.04133269999874756,0.0
7,20260923,catboost_depth4,catboost,4.0,210,139,0.816622029478699,66,5,13,126,0.9064748201438849,0.9295774647887324,0.9618320610687023,0.8354430379746836,0.9742628432465295,0.9883225163510201,7.657139200004167,0.0
7,20260923,catboost_depth6,catboost,6.0,210,139,0.7410682826194535,65,6,13,126,0.9064748201438849,0.9154929577464789,0.9545454545454546,0.8333333333333334,0.9728442598034249,0.9872066332680558,24.665274999992107,0.0
8,20260924,logistic_C0.01,logistic,0.01,210,139,0.7467029534715925,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9848008916810214,0.9923945355052404,0.04136350000044331,0.0
8,20260924,logistic_C0.1,logistic,0.1,210,139,0.7226741800472739,65,6,13,126,0.9064748201438849,0.9154929577464789,0.9545454545454546,0.8333333333333334,0.9791265579086027,0.9886339977956822,0.051386499995714985,0.0
8,20260924,logistic_C1,logistic,1.0,210,139,0.6892206603668362,65,6,13,126,0.9064748201438849,0.9154929577464789,0.9545454545454546,0.8333333333333334,0.9753774445232547,0.9861867446465378,0.05562490000738762,0.0
8,20260924,catboost_depth4,catboost,4.0,210,139,0.8307141714735233,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9854088560137806,0.9920294706418151,8.071669499986456,0.0
8,20260924,catboost_depth6,catboost,6.0,210,139,0.8841535838313965,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9859154929577465,0.9927484396986678,25.008077699996647,0.0
9,20260925,logistic_C0.01,logistic,0.01,210,138,0.8031099584140898,70,2,13,125,0.9057971014492754,0.9722222222222222,0.984251968503937,0.8433734939759037,0.9837962962962963,0.9924340773831423,0.03524769999785349,0.0
9,20260925,logistic_C0.1,logistic,0.1,210,138,0.9134021157810345,71,1,13,125,0.9057971014492754,0.9861111111111112,0.9920634920634921,0.8452380952380952,0.9845008051529791,0.9928024853140851,0.046956399994087406,0.0
9,20260925,logistic_C1,logistic,1.0,210,138,0.9667579361696779,70,2,13,125,0.9057971014492754,0.9722222222222222,0.984251968503937,0.8433734939759037,0.9821859903381643,0.9914176429492885,0.04844730001059361,0.0
9,20260925,catboost_depth4,catboost,4.0,210,138,0.8420883894073296,72,0,13,125,0.9057971014492754,1.0,1.0,0.8470588235294118,0.9863123993558777,0.9937143877319377,7.499570300002233,0.0
9,20260925,catboost_depth6,catboost,6.0,210,138,0.8664479918816748,71,1,13,125,0.9057971014492754,0.9861111111111112,0.9920634920634921,0.8452380952380952,0.9821859903381642,0.9921196869016425,23.638273599994136,0.0
10,20260926,logistic_C0.01,logistic,0.01,210,139,0.7219840512103514,66,5,13,126,0.9064748201438849,0.9295774647887324,0.9618320610687023,0.8354430379746836,0.9830783260715371,0.9916782206411958,0.032812499994179234,0.0
10,20260926,logistic_C0.1,logistic,0.1,210,139,0.826988006228479,66,5,13,126,0.9064748201438849,0.9295774647887324,0.9618320610687023,0.8354430379746836,0.9819637247948121,0.991186888631199,0.03880289998778608,0.0
10,20260926,logistic_C1,logistic,1.0,210,139,0.8964840569273549,66,5,13,126,0.9064748201438849,0.9295774647887324,0.9618320610687023,0.8354430379746836,0.9792278852973959,0.9898486213976382,0.04184890000033192,0.0
10,20260926,catboost_depth4,catboost,4.0,210,139,0.8444782260065602,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.9882460228999899,0.9937318219050791,7.593476599999121,0.0
10,20260926,catboost_depth6,catboost,6.0,210,139,0.8589831133759259,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9857128381801601,0.9923138922530375,23.68582709999464,0.0
11,20260927,logistic_C0.01,logistic,0.01,210,139,0.6843039598633572,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9757827540784274,0.9878416611403762,0.03566049999790266,0.0
11,20260927,logistic_C0.1,logistic,0.1,210,139,0.7381772604603227,66,5,13,126,0.9064748201438849,0.9295774647887324,0.9618320610687023,0.8354430379746836,0.9767960279663592,0.988686428182873,0.04373249999480322,0.0
11,20260927,logistic_C1,logistic,1.0,210,139,0.8505667251277588,66,5,13,126,0.9064748201438849,0.9295774647887324,0.9618320610687023,0.8354430379746836,0.9730469145810112,0.9868002095856007,0.04806970000208821,0.0
11,20260927,catboost_depth4,catboost,4.0,210,139,0.8233392671097126,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9821663795723984,0.9905285178599204,7.481682700003148,0.0
11,20260927,catboost_depth6,catboost,6.0,210,139,0.8799520573043692,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.9820650521836053,0.9905049362913899,23.86886930000037,0.0
12,20260928,logistic_C0.01,logistic,0.01,210,139,0.6926817939666512,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9659539973654879,0.9828399933638197,0.03260279999813065,0.0
12,20260928,logistic_C0.1,logistic,0.1,210,139,0.7636319010121329,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9657513425879015,0.9821004933026709,0.03985590000229422,0.0
12,20260928,logistic_C1,logistic,1.0,210,139,0.8522449094429195,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9635221400344514,0.9805297575512739,0.04082750000816304,0.0
12,20260928,catboost_depth4,catboost,4.0,210,139,0.8291509841351786,66,5,13,126,0.9064748201438849,0.9295774647887324,0.9618320610687023,0.8354430379746836,0.9669672712534197,0.9824125105507304,7.479162699994049,0.0
12,20260928,catboost_depth6,catboost,6.0,210,139,0.8762861429507244,66,5,13,126,0.9064748201438849,0.9295774647887324,0.9618320610687023,0.8354430379746836,0.9643327591447969,0.9815185334079323,24.57976599999529,0.0
13,20260929,logistic_C0.01,logistic,0.01,210,139,0.6852883947794028,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.9810517782956734,0.9912560144998244,0.03046389999508392,0.0
13,20260929,logistic_C0.1,logistic,0.1,210,139,0.8169011062846736,70,1,13,126,0.9064748201438849,0.9859154929577465,0.9921259842519685,0.8433734939759037,0.9842942547370555,0.9928630575751116,0.03663669999514241,0.0
13,20260929,logistic_C1,logistic,1.0,210,139,0.8915330123266055,70,1,13,126,0.9064748201438849,0.9859154929577465,0.9921259842519685,0.8433734939759037,0.985104873847401,0.9932397428158017,0.04234400000132155,0.0
13,20260929,catboost_depth4,catboost,4.0,210,139,0.7109891290372732,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9832809808491236,0.9913484917559995,7.3761214000114705,0.0
13,20260929,catboost_depth6,catboost,6.0,210,139,0.8239196583815771,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.9800385044077413,0.9892907375985976,24.36443240000517,0.0
14,20260930,logistic_C0.01,logistic,0.01,210,139,0.6781769565847815,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.978214611409464,0.9889800087073868,0.03266810000059195,0.0
14,20260930,logistic_C0.1,logistic,0.1,210,139,0.67745322138407,66,5,13,126,0.9064748201438849,0.9295774647887324,0.9618320610687023,0.8354430379746836,0.9745668254129091,0.9870600341104034,0.038064799999119714,0.0
14,20260930,logistic_C1,logistic,1.0,210,139,0.5850569009174124,63,8,13,126,0.9064748201438849,0.8873239436619719,0.9402985074626866,0.8289473684210527,0.968183199918938,0.9839137385733893,0.044171000001369976,0.0
14,20260930,catboost_depth4,catboost,4.0,210,139,0.660335049157068,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9817610700172257,0.9905232595056863,7.298575799999526,0.0
14,20260930,catboost_depth6,catboost,6.0,210,139,0.7671679926083707,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9821663795723984,0.9905751964173739,24.615626800004975,0.0
15,20260931,logistic_C0.01,logistic,0.01,210,139,0.715272714497056,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.983078326071537,0.9919069109020969,0.030407300000661053,0.0
15,20260931,logistic_C0.1,logistic,0.1,210,139,0.743144249490648,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.982470361738778,0.9914812947284398,0.037948199998936616,0.0
15,20260931,logistic_C1,logistic,1.0,210,139,0.8213486502418964,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9816597426284325,0.9910739865573779,0.042731699999421835,0.0
15,20260931,catboost_depth4,catboost,4.0,210,139,0.8472640732972587,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9827743439051575,0.9915801484864384,7.457907999996678,0.0
15,20260931,catboost_depth6,catboost,6.0,210,139,0.9247728598399575,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9812544330732598,0.9909785983991747,23.623007900008815,0.0
16,20260932,logistic_C0.01,logistic,0.01,210,139,0.7483423698886488,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.9701084203060086,0.9774042891298662,0.02959819999523461,0.0
16,20260932,logistic_C0.1,logistic,0.1,210,139,0.8260005042588612,65,6,13,126,0.9064748201438849,0.9154929577464789,0.9545454545454546,0.8333333333333334,0.9679805451413518,0.9726744578005961,0.038200399998459034,0.0
16,20260932,logistic_C1,logistic,1.0,210,139,0.8819878869939312,65,6,13,126,0.9064748201438849,0.9154929577464789,0.9545454545454546,0.8333333333333334,0.9653460330327288,0.9675465182702163,0.03822230000514537,0.0
16,20260932,catboost_depth4,catboost,4.0,210,139,0.8897695614441854,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9685885094741109,0.977911432950714,7.365952699998161,0.0
16,20260932,catboost_depth6,catboost,6.0,210,139,0.9190399633864446,66,5,13,126,0.9064748201438849,0.9295774647887324,0.9618320610687023,0.8354430379746836,0.9725402776370453,0.9835875528223004,23.494914700000663,0.0
17,20260933,logistic_C0.01,logistic,0.01,210,139,0.7499190145486033,65,6,13,126,0.9064748201438849,0.9154929577464789,0.9545454545454546,0.8333333333333334,0.9766947005775661,0.987257470477591,0.0307425999926636,0.0
17,20260933,logistic_C0.1,logistic,0.1,210,139,0.8117818769758117,65,6,13,126,0.9064748201438849,0.9154929577464789,0.9545454545454546,0.8333333333333334,0.9767960279663593,0.9878216139173148,0.03725540000596084,0.0
17,20260933,logistic_C1,logistic,1.0,210,139,0.9014799642414287,65,6,13,126,0.9064748201438849,0.9154929577464789,0.9545454545454546,0.8333333333333334,0.9730469145810112,0.9857298091992552,0.04193690000101924,0.0
17,20260933,catboost_depth4,catboost,4.0,210,139,0.8995734686850855,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9842942547370555,0.9914748761620233,7.2095411000045715,0.0
17,20260933,catboost_depth6,catboost,6.0,210,139,0.9288785201677675,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9861181477353329,0.9926982088572054,23.50507669999206,0.0
